Safe Ingredients:
[AQUA (WATER), CAPRYLIC/CAPRIC TRIGLYCERIDE, CETYL ALCOHOL, PROPANEDIOL, STEARYL ALCOHOL, GLYCERIN, SODIUM HYALURONATE, ARGININE, ASPARTIC ACID, GLYCINE, ALANINE, SERINE, VALINE, ISOLEUCINE, PROLINE, THREONINE, HISTIDINE, PHENYLALANINE, GLUCOSE, MALTOSE, FRUCTOSE, TREHALOSE, SODIUM PCA, PCA, SODIUM LACTATE, UREA, ALLANTOIN, LINOLEIC ACID, OLEIC ACID, PHYTOSTERYL CANOLA GLYCERIDES, PALMITIC ACID, Petrolatum, Mineral Oil, Paraffin, Water, Glycerin, Stearic Acid, Isopropyl Myristate, Coconut Oil, Shea Butter, Jojoba Oil, Aloe Vera, Vitamin E, Chamomile Extract, Dimethicone, Benzyl Alcohol, Phenoxyethanol, Ethylhexylglycerin, Retinol, Retinyl Palmitate, Ascorbic Acid, Niacinamide, Titanium Dioxide, Zinc Oxide, Tea Tree Oil, Lavender Oil, Eucalyptus Oil, Panthenol (Vitamin B5), Niacinamide (Vitamin B3), Lactic Acid, Citric Acid, Salicylic Acid, Green Tea Extract, Beeswax, Glycerin;Panthenol;Allantoin, Aloe Vera;Glycerin;Vitamin E, Water;Sodium PCA;Lactic Acid, Coconut Oil;Aloe Vera;Shea Butter, Petrolatum;Glycerin;Cetearyl Alcohol, Cetearyl Alcohol;Sodium Hyaluronate;Allantoin, Water;Glycerin;Niacinamide, Water;Aloe Vera;Allantoin, Glycerin;Panthenol;Niacinamide, Aloe Vera;Vitamin E;Allantoin, Coconut Oil;Shea Butter;Vitamin E, Water;Glycerin;Sodium Hyaluronate, Water;Cetearyl Alcohol;Aloe Vera, Water;Niacinamide;Lactic Acid, Petrolatum;Mineral Oil;Aloe Vera, Water;Glycerin;Dimethicone, Coconut Oil;Shea Butter;Allantoin, Water;Niacinamide;Vitamin E, Aloe Vera;Panthenol;Allantoin, Water;Glycerin;Chamomile Extract, Water;Sodium Hyaluronate;Niacinamide, Cetearyl Alcohol;Dimethicone;Allantoin, Glycerin;Panthenol;Aloe Vera, Water;Cetearyl Alcohol;Shea Butter, Water;Glycerin;Shea Butter, Coconut Oil;Aloe Vera;Vitamin E, Water;Glycerin;Panthenol, Water;Niacinamide;Allantoin, Aloe Vera;Chamomile Extract;Vitamin E, Water;Sodium Hyaluronate;Chamomile Extract, Cetearyl Alcohol;Glycerin;Dimethicone, Water;Cetearyl Alcohol;Panthenol, Water;Shea Butter;Allantoin, Petrolatum;Mineral Oil;Dimethicone, Coconut Oil;Aloe Vera;Niacinamide, Water;Niacinamide;Chamomile Extract, Aloe Vera;Glycerin;Vitamin E, Cetearyl Alcohol;Glycerin;Allantoin, Water;Sodium Hyaluronate;Panthenol, Coconut Oil;Avocado Oil, Keratin;Collagen, Soybean Oil;Sweet Almond Oil, Sodium Benzoate, Witch Hazel;Rose Water, Isopropyl Myristate, Mica;Iron Oxides, Sodium Chloride;Magnesium Sulfate, Cetearyl Alcohol;Stearyl Alcohol, Green Tea Extract;White Tea Extract, Calendula Extract;Chamomile Extract, Grapefruit Seed Extract, Cocoa Butter;Shea Butter, Squalane;Squalene, Aloe Vera;Cucumber Extract, Hyaluronic Acid;Glycerin, Peptides;Ceramides, Silica;Dimethicone, Cocamidopropyl Betaine]
Unsafe Ingredients:
[Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Parfum, Limonene, Linalool, Oxybenzone, Octinoxate, Homosalate, Triclosan, Triclocarban, Formaldehyde, DMDM Hydantoin, Quaternium-15, Lead, Mercury, Cadmium, Parabens, Methylparaben, Propylparaben, Polyethylene Glycol (PEG), Stearate, Laurate, BHT, BHA, Sodium Laureth Sulfate (SLES), Cocamide DEA, Butylparaben, Dibutyl phthalate (DBP), Diethyl phthalate (DEP), Imidazolidinyl urea, Toluene, Arsenic, Hydroquinone, Synthetic musks, p-phenylenediamine (PPD), Coal Tar, Benzene, Sulfites, Metabisulfites, Petroleum Distillates, Aluminum Chlorohydrate, Fragrance, Resorcinol, DEA (Diethanolamine), Triclosan, Methylisothiazolinone, Methylchloroisothiazolinone, Polyethylene Glycol (PEG) Compounds, Diethanolamine (DEA), Triethanolamine (TEA), Talc, Ammonium Persulfate, Phenol, Sodium Hydroxymethylglycinate, Benzalkonium Chloride, Mercury Compounds, Mineral Oil, Paraffin, Hexyl Cinnamal, Formaldehyde, Isobutane, Propane, Nitrosamines]



Ingredients,Classification,Description
Vitamin E,Safe,Antioxidant.
Chamomile Extract,Safe,Soothing agent.
Green Tea Extract,Safe,Antioxidant.
Hyaluronic Acid,Safe,Humectant.
Beeswax,Safe,Emollient and thickener.
Titanium Dioxide,Safe,Physical sunscreen.
Zinc Oxide,Safe,Physical sunscreen.
Cetyl Alcohol,Safe,Emollient and emulsifier.
Stearyl Alcohol,Safe,Emollient and emulsifier.
Panthenol (Vitamin B5),Safe,Moisturizer and humectant.
Niacinamide (Vitamin B3),Safe,Skin-conditioning agent.
Lactic Acid,Safe,Alpha hydroxy acid; exfoliant.
Citric Acid,Safe,Alpha hydroxy acid; pH adjuster.
Tea Tree Oil,Safe,Essential oil; antimicrobial.
Lavender Oil,Safe,Essential oil; fragrance and soothing agent.
Retinol (Vitamin A),Safe,Anti-aging agent.
Salicylic Acid,Safe,Beta hydroxy acid; exfoliant.
Allantoin,Safe,Skin protectant.
Petrolatum;Mineral Oil;Paraffin,Safe,"Common ingredients in lotions and ointments like Vaseline; generally considered safe."
Water;Glycerin;Stearic Acid;Isopropyl Myristate,Safe,"Typical ingredients in many lotions; generally considered safe."
Coconut Oil;Shea Butter;Jojoba Oil,Safe,"Natural moisturizers and emollients; generally considered safe."
Water;Cetearyl Alcohol;Dimethicone,Safe,"Common in lotions for texture and moisture; generally considered safe."
Aloe Vera;Vitamin E;Chamomile Extract,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Sodium Hyaluronate;Niacinamide;Allantoin,Safe,"Hydrating and skin-soothing ingredients; generally considered safe."
Glycerin;Panthenol;Allantoin,Safe,"Moisturizing and soothing agents; generally considered safe."
Aloe Vera;Glycerin;Vitamin E,Safe,"Soothing and hydrating ingredients; generally considered safe."
Water;Sodium PCA;Lactic Acid,Safe,"Hydrating and pH-balancing ingredients; generally considered safe."
Coconut Oil;Aloe Vera;Shea Butter,Safe,"Moisturizing and soothing agents; generally considered safe."
Parabens;Methylparaben;Propylparaben,Unsafe,"Preservatives linked to endocrine disruption."
Polyethylene Glycol (PEG);Stearate;Laurate,Unsafe,"Potentially contaminated with ethylene oxide and 1,4-dioxane; possible carcinogens."
Sodium Lauryl Sulfate;Cocamidopropyl Betaine,Unsafe,"SLS can be irritating and Cocamidopropyl Betaine can cause allergies in some individuals."
Oxybenzone;Octinoxate;Homosalate,Unsafe,"Chemical sunscreens linked to hormone disruption and environmental damage."
Triclosan;Triclocarban,Unsafe,"Antibacterial agents linked to hormone disruption and bacterial resistance."
Formaldehyde;DMDM Hydantoin,Unsafe,"Preservatives that release formaldehyde, a known carcinogen."
Quaternium-15;Imidazolidinyl Urea,Unsafe,"Formaldehyde-releasing preservatives; potential carcinogens."
Lead;Mercury,Unsafe,"Heavy metals linked to neurological and developmental damage."
BHA;BHT,Unsafe,"Antioxidants linked to cancer and hormone disruption."
Sodium Laureth Sulfate (SLES);Cocamide DEA,Unsafe,"Surfactants that can be irritating and contaminated with carcinogens."
Parfum;Limonene;Linalool,Unsafe,"Fragrance components that can cause allergic reactions and irritation."
Petrolatum;Glycerin;Cetearyl Alcohol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Cetearyl Alcohol;Sodium Hyaluronate;Allantoin,Safe,"Emollients and humectants; generally considered safe."
Water;Glycerin;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Water;Aloe Vera;Allantoin,Safe,"Hydrating and soothing ingredients; generally considered safe."
Glycerin;Panthenol;Niacinamide,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Aloe Vera;Vitamin E;Allantoin,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Coconut Oil;Shea Butter;Vitamin E,Safe,"Natural emollients and antioxidants; generally considered safe."
Water;Glycerin;Sodium Hyaluronate,Safe,"Hydrating ingredients; generally considered safe."
Water;Cetearyl Alcohol;Aloe Vera,Safe,"Moisturizing and soothing agents; generally considered safe."
Water;Niacinamide;Lactic Acid,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Stearate,Unsafe,"Potentially contaminated with carcinogens; linked to endocrine disruption."
Methylparaben;Propylparaben;Imidazolidinyl Urea,Unsafe,"Preservatives linked to endocrine disruption and release formaldehyde."
Sodium Lauryl Sulfate;Triclosan;SLES,Unsafe,"Irritating surfactants and antibacterial agents linked to hormone disruption."
Oxybenzone;Octinoxate;BHA,Unsafe,"Chemical sunscreens and antioxidants linked to hormone disruption and cancer."
Triclocarban;Formaldehyde;Quaternium-15,Unsafe,"Antibacterial agents and preservatives linked to hormone disruption and cancer."
Lead;Mercury;Cadmium,Unsafe,"Heavy metals linked to neurological and developmental damage."
BHT;Cocamide DEA;Limonene,Unsafe,"Antioxidants and surfactants linked to hormone disruption and irritation."
Petrolatum;Mineral Oil;Aloe Vera,Safe,"Moisturizing and soothing agents; generally considered safe."
Water;Glycerin;Dimethicone,Safe,"Common hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Shea Butter;Allantoin,Safe,"Natural moisturizers and skin-soothing agents; generally considered safe."
Water;Niacinamide;Vitamin E,Safe,"Hydrating and antioxidant agents; generally considered safe."
Aloe Vera;Panthenol;Allantoin,Safe,"Soothing and hydrating agents; generally considered safe."
Water;Glycerin;Chamomile Extract,Safe,"Hydrating and soothing ingredients; generally considered safe."
Water;Sodium Hyaluronate;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Cetearyl Alcohol;Dimethicone;Allantoin,Safe,"Emollients and skin-soothing agents; generally considered safe."
Glycerin;Panthenol;Aloe Vera,Safe,"Hydrating and soothing agents; generally considered safe."
Water;Cetearyl Alcohol;Shea Butter,Safe,"Moisturizing and emollient agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Cocamide DEA,Unsafe,"Preservatives and surfactants linked to endocrine disruption and carcinogenicity."
Triclosan;Formaldehyde;DMDM Hydantoin,Unsafe,"Antibacterial agents and preservatives linked to hormone disruption and cancer."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Oxybenzone;Octinoxate;Triclocarban,Unsafe,"Chemical sunscreens and antibacterial agents linked to hormone disruption."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Vitamin E,Safe,"Natural moisturizers and antioxidants; generally considered safe."
Water;Glycerin;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Allantoin,Safe,"Hydrating and brightening agents; generally considered safe."
Aloe Vera;Chamomile Extract;Vitamin E,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Water;Sodium Hyaluronate;Chamomile Extract,Safe,"Hydrating and soothing ingredients; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Cetearyl Alcohol;Panthenol,Safe,"Moisturizing and conditioning agents; generally considered safe."
Water;Shea Butter;Allantoin,Safe,"Moisturizing and skin-soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Parabens;Methylparaben;Triclosan,Unsafe,"Preservatives and antibacterial agents linked to endocrine disruption and irritation."
Polyethylene Glycol (PEG);Stearate;Quaternium-15,Unsafe,"Surfactants and preservatives linked to carcinogenicity."
Sodium Lauryl Sulfate;Formaldehyde;BHT,Unsafe,"Irritating surfactants and preservatives linked to cancer."
Oxybenzone;Octinoxate;Cocamide DEA,Unsafe,"Chemical sunscreens and surfactants linked to hormone disruption and irritation."
Lead;Mercury;Imidazolidinyl Urea,Unsafe,"Heavy metals and preservatives linked to neurological damage and cancer."
Triclocarban;DMDM Hydantoin;Parfum,Unsafe,"Antibacterial agents and fragrance components linked to irritation and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Panthenol,Safe,"Natural moisturizers and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Aloe Vera;Glycerin;Vitamin E,Safe,"Soothing and hydrating agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Allantoin,Safe,"Emollients and skin-soothing agents; generally considered safe."
Water;Sodium Hyaluronate;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Glycerin;Dimethicone,Safe,"Hydrating and moisturizing agents; generally considered safe."
Water;Aloe Vera;Shea Butter,Safe,"Moisturizing and soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Cetearyl Alcohol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Methylparaben;Polyethylene Glycol (PEG),Unsafe,"Preservatives and surfactants linked to endocrine disruption."
Sodium Lauryl Sulfate;Triclosan;BHA,Unsafe,"Irritating surfactants and antioxidants linked to hormone disruption and cancer."
Oxybenzone;Octinoxate;Formaldehyde,Unsafe,"Chemical sunscreens and preservatives linked to hormone disruption and cancer."
Lead;Mercury;DMDM Hydantoin,Unsafe,"Heavy metals and preservatives linked to neurological damage and carcinogenicity."
Triclocarban;Quaternium-15;Parfum,Unsafe,"Antibacterial agents and fragrance components linked to irritation and allergies."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Petrolatum;Glycerin;Panthenol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Allantoin,Safe,"Hydrating and skin-soothing agents; generally considered safe."
Coconut Oil;Aloe Vera;Niacinamide,Safe,"Natural moisturizers and brightening agents; generally considered safe."
Water;Cetearyl Alcohol;Chamomile Extract,Safe,"Moisturizing and soothing agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Formaldehyde,Unsafe,"Preservatives linked to endocrine disruption and cancer."
Oxybenzone;Octinoxate;Cocamide DEA,Unsafe,"Chemical sunscreens and surfactants linked to hormone disruption and irritation."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Sodium Lauryl Sulfate;Triclosan;Parfum,Unsafe,"Irritating surfactants and fragrance components linked to hormone disruption and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Vitamin E,Safe,"Natural moisturizers and antioxidants; generally considered safe."
Water;Glycerin;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Allantoin,Safe,"Hydrating and brightening agents; generally considered safe."
Aloe Vera;Chamomile Extract;Vitamin E,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Water;Sodium Hyaluronate;Chamomile Extract,Safe,"Hydrating and soothing ingredients; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Cetearyl Alcohol;Panthenol,Safe,"Moisturizing and conditioning agents; generally considered safe."
Water;Shea Butter;Allantoin,Safe,"Moisturizing and skin-soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Cocamide DEA,Unsafe,"Preservatives and surfactants linked to endocrine disruption and carcinogenicity."
Triclosan;Formaldehyde;DMDM Hydantoin,Unsafe,"Antibacterial agents and preservatives linked to hormone disruption and cancer."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Oxybenzone;Octinoxate;Triclocarban,Unsafe,"Chemical sunscreens and antibacterial agents linked to hormone disruption."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Panthenol,Safe,"Natural moisturizers and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Allantoin,Safe,"Emollients and skin-soothing agents; generally considered safe."
Water;Glycerin;Dimethicone,Safe,"Hydrating and moisturizing agents; generally considered safe."
Water;Aloe Vera;Shea Butter,Safe,"Moisturizing and soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Cetearyl Alcohol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Methylparaben;Polyethylene Glycol (PEG),Unsafe,"Preservatives and surfactants linked to endocrine disruption."
Sodium Lauryl Sulfate;Triclosan;BHA,Unsafe,"Irritating surfactants and antioxidants linked to hormone disruption and cancer."
Oxybenzone;Octinoxate;Formaldehyde,Unsafe,"Chemical sunscreens and preservatives linked to hormone disruption and cancer."
Lead;Mercury;DMDM Hydantoin,Unsafe,"Heavy metals and preservatives linked to neurological damage and carcinogenicity."
Triclocarban;Quaternium-15;Parfum,Unsafe,"Antibacterial agents and fragrance components linked to irritation and allergies."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Petrolatum;Glycerin;Panthenol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Allantoin,Safe,"Hydrating and skin-soothing agents; generally considered safe."
Coconut Oil;Aloe Vera;Niacinamide,Safe,"Natural moisturizers and brightening agents; generally considered safe."
Water;Cetearyl Alcohol;Chamomile Extract,Safe,"Moisturizing and soothing agents; generally considered safe."
